modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,teste,delta_depth_close_5m_pp,1.8642736826354558,2.8974402643803256,0.09374843312780451,Sem IMU e atitude,IMU e atitude,32,84,56,1.7378282747955924,0.12644540783986336,7.276058841586989
MLP,teste,delta_depth_close_10m_pp,0.8897301930545004,1.2329679803094058,0.11922979041363906,Sem IMU e atitude,IMU e atitude,32,84,56,0.828562366184958,0.06116782686954236,7.382404676570601
MLP,validacao,delta_depth_p10_m,0.06419008762357019,0.09480202682992658,0.2375759489582432,Sem Movimento,Movimento,47,21,19,0.062326611546142004,0.0018634760774281847,2.9898562286650305
MLP,validacao,delta_depth_p50_m,0.20555429480531637,0.30111706976919556,0.3203690214981793,Sem Movimento,Movimento,47,21,19,0.19989270995206693,0.005661584853249441,2.832311820979892
MLP,validacao,delta_depth_p90_m,1.1265261450784771,3.236731655209905,0.234443570424082,Sem Movimento,Movimento,47,21,19,1.159770854288838,-0.033244709210360934,-2.8664894524139695
MLP,validacao,delta_depth_close_2m_pp,1.205278344736914,1.930475905342602,0.2285163827369585,Sem Movimento,Movimento,47,21,19,1.1361823853793527,0.0690959593575613,6.081414414332017
MLP,validacao,delta_depth_close_5m_pp,1.4355366088956705,1.9357862928863692,0.377776334171164,Sem Movimento,Movimento,47,21,19,1.389594420885174,0.04594218801049643,3.3061580645402406
MLP,validacao,delta_depth_close_10m_pp,0.9190948564935003,1.2727745505622337,0.39218455726207424,Sem Movimento,Movimento,47,21,19,0.8821392088590073,0.036955647634492994,4.189321511090392
MLP,teste,delta_depth_p10_m,0.08718124062709787,0.23053652703106464,0.24707109597100085,Sem Movimento,Movimento,47,21,19,0.08872678624886957,-0.001545545621771699,-1.741915476839882
MLP,teste,delta_depth_p50_m,0.1756658112689694,0.2670639173036532,0.20953612941909536,Sem Movimento,Movimento,47,21,19,0.17948897800190336,-0.0038231667329339525,-2.1300286934016697
MLP,teste,delta_depth_p90_m,0.8939457508311806,1.5736982490435996,-0.07826881903788162,Sem Movimento,Movimento,47,21,19,0.9298173297268457,-0.03587157889566517,-3.8579167916996377
